"","SRR13836064","SRR13836061","SRR13836096","SRR13836086","SRR13836068","SRR13836072","SRR13836094","SRR13836071","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147"
"GGB9708_SGB15233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183220854919837
"GGB14025_SGB14906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lacrimispora_amygdalina",0.00188774231722205,0,0,0.00256844723636857,0.000738222517490036,0.000357989539138891,0.00153460191666699,0.00109258321173558,0.00118633148949718,0,0.00291952412936982,0.000467437572908802,0.000744083607478687,0.0237812713478865,0,0,0
"Blautia_glucerasea",0,0,0,0,5.33368558843519e-05,0,0,0,0.000641914967607755,0,0,0,0,0.000442082420088949,0,0,9.40448446736934e-05
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agathobaculum_butyriciproducens",0.00047350288519979,0.00219842377547264,0.000386795178858312,0.00471447550845526,0.00834740704085221,0,0.00212775536348931,0.00689270614815756,0.0102495100131196,9.69687812712359e-05,0.0064884062580909,0.00362362444398585,0.000814786730410319,0.00346321843919807,0,0.00320516176557233,0.000225465456832552
"Alistipes_onderdonkii",0.0017534240850588,0.0193509265937064,0.000172884118845005,1,0.000156691208918584,0.00121254083466498,0.00083674324252598,0.0968581735158925,0.0092686413221336,0.0504259606247931,0.065009974497275,0.000175559393435549,0.0011110648336089,0.0866721323494435,0.00481151156355566,0.000244469920706726,0.00981998722997675
"GGB80140_SGB15224",0,0,0,0,0,0,0,0,0.000431381520060589,0,0,0,0,0,0,0,0.000549287415696273
"Clostridiaceae_bacterium_Marseille_Q4143",0,0,0,7.31554974158828e-05,0.000191401564422993,0,0,0,0,0,0.00012066635650518,0,0,0,0,0,0
"Parasutterella_SGB9260",2.48560060378276e-05,0.00289072582095711,0,0,0.00664938141253863,0,0,0.00216195563673187,0.000121375723595715,0.000120153445597676,4.30239573083342e-05,0.000253718616598941,0.0290710528642489,0.0169082757306547,0,5.74012964815889e-05,0
"GGB33469_SGB15236",0,0.000593434302796756,0,0,0,0,0,0,0.00220167012794514,0,0.000193775549406171,0,0,0,0,0,0.00651545794583498
"Turicibacter_bilis",0,0,0,0.000128044591355182,0,0,0,0,0,0.000138578076128414,0,0,0,0,0,0,0
"GGB79734_SGB15291",0.000246646223137702,5.65215800064418e-05,0,0.00150321286757868,0.00052148459601149,0,0,0,0.000219325916828264,0,0,0,0,0.00172240622934103,0,0,0.000852929861252552
"Hydrogenoanaerobacterium_saccharovorans",0,0,0,0.00208480797359964,0.00055050606645222,0,0,0.000157985787508242,0,0,0,0,0,0.00104529544621354,0,0,0.000283003329675944
"Desulfovibrio_piger",0,0,0,0,0,0,0,0,0.00475591169985507,0.000419906383227346,0,0,0,0,0,0,0
"Blautia_luti",0.000262834965991185,0,0,0.00105723100406337,0,0,0,0,0,0,0,0,0,0,0,0,0
